"","[0,2)","[2,4)","[4,6)","[6,8)","[8,10)","[10,12)","[12,14)","[14,16)","[16,18)","[18,20)","[20,22)","[22,24)","[24,26)","[26,28)","[28,30)","[30,32)","[32,34)","[34,36)","[36,38)","[38,40)","[40,42)","[42,44)","[44,46)","[46,48)","[48,50)","[50,52)","[52,54)","[54,56)","[56,58)","[58,60)","60+"
"[0,2)",0.0283024639735696,0.0736730506596597,0.0648447299043596,0.0551540004956582,0.052547108430567,0.0239835369662329,0.0422205576305539,0.0416001456665525,0.0151804277709508,0.0698272366092842,0.0492086826549302,0.0786614208936808,0.0915220881447417,0.12891869551519,0.224423625073915,0.226055142536654,0.226977030104066,0.209756851763484,0.181451940559515,0.167099914429606,0.114584039102351,0.0635515841842871,0.0683550467589164,0.0546035198953567,0.110004095416519,0.132122645045062,0.140139055063081,0.0925037737957071,0.122065166846048,0.113707677891004,0.877874736340669
"[2,4)",0.0212520552844442,0.109364660537437,0.069789658788537,0.0708832387366927,0.0643454027530048,0.0400486176807152,0.0329008468492536,0.0274622079948586,0.0462493194716654,0.0365005454846216,0.0281389571197101,0.054668791287331,0.10322120406611,0.116241051938171,0.109017034420794,0.176205275471899,0.254715989141174,0.222568517823406,0.133735640367424,0.198255080226917,0.099925007692369,0.0746225642254803,0.0635895248808814,0.0806636548364155,0.0820859212357604,0.0942100502294839,0.117724240938266,0.0930105755456,0.106254248785873,0.134928107430996,0.559499765707636
"[4,6)",0.0282224427531264,0.0496689257107102,0.14203362782444,0.0983141366356283,0.0561432673366074,0.064114788597873,0.0320324066075727,0.0400208628079002,0.0398988521750417,0.0612435281217161,0.074380195140818,0.06131351185807,0.0894822488283734,0.087636009867719,0.0975448584605779,0.167090059790841,0.247577077640749,0.263253204446666,0.181484103324606,0.184787932731126,0.132035302532465,0.105072877226653,0.0822844015698959,0.0812912479232039,0.0799188229262789,0.0681434671704599,0.0871400731346356,0.0928442573884208,0.0768663404019965,0.115592948804441,0.679540927237178
"[6,8)",0.0102434087509558,0.0205961889032571,0.102775781449095,0.0835858659555585,0.264743454572622,0.0437000977292074,0.0358984054373825,0.00481518563585734,0.00697404526433806,0.00493456124025392,0.0588951958739758,0.0323766718747564,0.0383223935491883,0.0372581389609253,0.0603606912110008,0.12038265935091,0.189469041952636,0.255162112528344,0.250057803418648,0.172057174493008,0.134327941113887,0.144814611496802,0.0680266683509253,0.0442004315068707,0.0758291201123239,0.0762781735323683,0.0395003547132015,0.0596919908544084,0.054207315496928,0.112838065927854,0.618578913213697
"[8,10)",0,0.0139154433857221,0.0146601163266649,0.0314428110143085,0.05578579737262,0.0424725581731908,0.0421732460363582,0.015303494689434,0.0291951331353898,0,0.0156010047267488,0,0.0446906768120497,0.0437298033817238,0,0.119739906527601,0.118869850480764,0.137407390101301,0.18152794635095,0.180819497115993,0.140149802657595,0.129248534560755,0.102755000504086,0.0395527965601623,0.0833868939008145,0.0437952981868925,0.0262909484407555,0.0595345630144826,0.0147659372206696,0.0470870802788077,0.290124601140307
"[10,12)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[12,14)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[14,16)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[16,18)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[18,20)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[20,22)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[22,24)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[24,26)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[26,28)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[28,30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[30,32)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[32,34)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[34,36)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[36,38)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[38,40)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[40,42)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[42,44)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[44,46)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[46,48)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[48,50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[50,52)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[52,54)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[54,56)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[56,58)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[58,60)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
